value,name,bgg_id,date,type,classification
Pattern Recognition,Overbooked,230200,1/2/2024,classification,boardgamemechanic
Simulation,Overbooked,230200,1/2/2024,classification,boardgamemechanic
Action Points,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Area Movement,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Campaign / Battle Card Driven,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Cooperative Game,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Dice Rolling,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Line of Sight,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Modular Board,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Scenario / Mission / Campaign Game,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Simulation,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,V-Sabotage,163474,1/2/2024,classification,boardgamemechanic
Hexagon Grid,Hellas,207330,1/2/2024,classification,boardgamemechanic
Network and Route Building,Hellas,207330,1/2/2024,classification,boardgamemechanic
Variable Phase Order,Hellas,207330,1/2/2024,classification,boardgamemechanic
Worker Placement,Hellas,207330,1/2/2024,classification,boardgamemechanic
Closed Drafting,Moon,358386,1/2/2024,classification,boardgamemechanic
End Game Bonuses,Moon,358386,1/2/2024,classification,boardgamemechanic
Hand Management,Moon,358386,1/2/2024,classification,boardgamemechanic
Worker Placement,Moon,358386,1/2/2024,classification,boardgamemechanic
Hand Management,Ticket to Ride: San Francisco,362541,1/2/2024,classification,boardgamemechanic
Network and Route Building,Ticket to Ride: San Francisco,362541,1/2/2024,classification,boardgamemechanic
Open Drafting,Ticket to Ride: San Francisco,362541,1/2/2024,classification,boardgamemechanic
Set Collection,Ticket to Ride: San Francisco,362541,1/2/2024,classification,boardgamemechanic
Action Queue,VektoRace,256839,1/2/2024,classification,boardgamemechanic
Measurement Movement,VektoRace,256839,1/2/2024,classification,boardgamemechanic
Movement Template,VektoRace,256839,1/2/2024,classification,boardgamemechanic
Race,VektoRace,256839,1/2/2024,classification,boardgamemechanic
Simulation,VektoRace,256839,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Forests of Pangaia,317859,1/2/2024,classification,boardgamemechanic
Pattern Building,Forests of Pangaia,317859,1/2/2024,classification,boardgamemechanic
Set Collection,Forests of Pangaia,317859,1/2/2024,classification,boardgamemechanic
Victory Points as a Resource,Forests of Pangaia,317859,1/2/2024,classification,boardgamemechanic
Hand Management,Nyet!,1107,1/2/2024,classification,boardgamemechanic
Open Drafting,Nyet!,1107,1/2/2024,classification,boardgamemechanic
Team-Based Game,Nyet!,1107,1/2/2024,classification,boardgamemechanic
Trick-taking,Nyet!,1107,1/2/2024,classification,boardgamemechanic
Grid Movement,Butterfly,284229,1/2/2024,classification,boardgamemechanic
Push Your Luck,Butterfly,284229,1/2/2024,classification,boardgamemechanic
Set Collection,Butterfly,284229,1/2/2024,classification,boardgamemechanic
Square Grid,Butterfly,284229,1/2/2024,classification,boardgamemechanic
Campaign / Battle Card Driven,Navajo Wars,102435,1/2/2024,classification,boardgamemechanic
Point to Point Movement,Navajo Wars,102435,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Navajo Wars,102435,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Area Movement,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Negotiation,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Player Elimination,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Prisoner's Dilemma,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Simultaneous Action Selection,Diplomacy,483,1/2/2024,classification,boardgamemechanic
Point to Point Movement,TAC,17991,1/2/2024,classification,boardgamemechanic
Team-Based Game,TAC,17991,1/2/2024,classification,boardgamemechanic
Connections,Ta Yü,117,1/2/2024,classification,boardgamemechanic
Team-Based Game,Ta Yü,117,1/2/2024,classification,boardgamemechanic
Tile Placement,Ta Yü,117,1/2/2024,classification,boardgamemechanic
Worker Placement,After the Empire,200511,1/2/2024,classification,boardgamemechanic
Hand Management,Dragonheart,66171,1/2/2024,classification,boardgamemechanic
Dice Rolling,Floor Plan,275469,1/2/2024,classification,boardgamemechanic
Paper-and-Pencil,Floor Plan,275469,1/2/2024,classification,boardgamemechanic
Simultaneous Action Selection,Floor Plan,275469,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Floor Plan,275469,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Masques,65673,1/2/2024,classification,boardgamemechanic
Hand Management,Masques,65673,1/2/2024,classification,boardgamemechanic
Memory,Masques,65673,1/2/2024,classification,boardgamemechanic
Open Drafting,Masques,65673,1/2/2024,classification,boardgamemechanic
Campaign / Battle Card Driven,Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
"Deck, Bag, and Pool Building",Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
Dice Rolling,Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
Hand Management,Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
Team-Based Game,Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Street Fighter: The Miniatures Game,193428,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Living Planet,236301,1/2/2024,classification,boardgamemechanic
Commodity Speculation,Living Planet,236301,1/2/2024,classification,boardgamemechanic
Grid Movement,Living Planet,236301,1/2/2024,classification,boardgamemechanic
Hand Management,Living Planet,236301,1/2/2024,classification,boardgamemechanic
Hexagon Grid,Living Planet,236301,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Smash Up: It's Your Fault!,177802,1/2/2024,classification,boardgamemechanic
Hand Management,Smash Up: It's Your Fault!,177802,1/2/2024,classification,boardgamemechanic
Take That,Smash Up: It's Your Fault!,177802,1/2/2024,classification,boardgamemechanic
Variable Phase Order,Smash Up: It's Your Fault!,177802,1/2/2024,classification,boardgamemechanic
Closed Drafting,Boomerang: Europe,300367,1/2/2024,classification,boardgamemechanic
Paper-and-Pencil,Boomerang: Europe,300367,1/2/2024,classification,boardgamemechanic
Set Collection,Boomerang: Europe,300367,1/2/2024,classification,boardgamemechanic
Closed Drafting,Wreck Raiders,252877,1/2/2024,classification,boardgamemechanic
Action Points,Master of Orion: The Board Game,193322,1/2/2024,classification,boardgamemechanic
Hand Management,Master of Orion: The Board Game,193322,1/2/2024,classification,boardgamemechanic
Turn Order: Progressive,Master of Orion: The Board Game,193322,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Master of Orion: The Board Game,193322,1/2/2024,classification,boardgamemechanic
Auction: Dutch,Atlantic Star,2570,1/2/2024,classification,boardgamemechanic
Set Collection,Atlantic Star,2570,1/2/2024,classification,boardgamemechanic
Cooperative Game,Legendary: Buffy The Vampire Slayer,210290,1/2/2024,classification,boardgamemechanic
"Deck, Bag, and Pool Building",Legendary: Buffy The Vampire Slayer,210290,1/2/2024,classification,boardgamemechanic
Open Drafting,Legendary: Buffy The Vampire Slayer,210290,1/2/2024,classification,boardgamemechanic
Hand Management,Kill Doctor Lucky,257,1/2/2024,classification,boardgamemechanic
Line of Sight,Kill Doctor Lucky,257,1/2/2024,classification,boardgamemechanic
Open Drafting,Kill Doctor Lucky,257,1/2/2024,classification,boardgamemechanic
Point to Point Movement,Kill Doctor Lucky,257,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Tyros,3230,1/2/2024,classification,boardgamemechanic
End Game Bonuses,Tyros,3230,1/2/2024,classification,boardgamemechanic
Grid Movement,Tyros,3230,1/2/2024,classification,boardgamemechanic
Hand Management,Tyros,3230,1/2/2024,classification,boardgamemechanic
Resource to Move,Tyros,3230,1/2/2024,classification,boardgamemechanic
Set Collection,Tyros,3230,1/2/2024,classification,boardgamemechanic
Square Grid,Tyros,3230,1/2/2024,classification,boardgamemechanic
Trading,Tyros,3230,1/2/2024,classification,boardgamemechanic
Variable Set-up,Tyros,3230,1/2/2024,classification,boardgamemechanic
Dice Rolling,Formula Motor Racing,635,1/2/2024,classification,boardgamemechanic
Hand Management,Formula Motor Racing,635,1/2/2024,classification,boardgamemechanic
Relative Movement,Formula Motor Racing,635,1/2/2024,classification,boardgamemechanic
Connections,10 Days in Africa,7865,1/2/2024,classification,boardgamemechanic
Hand Management,10 Days in Africa,7865,1/2/2024,classification,boardgamemechanic
Action Points,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Cooperative Game,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Hand Management,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Legacy Game,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Point to Point Movement,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Scenario / Mission / Campaign Game,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Set Collection,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Tags,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Trading,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Pandemic Legacy: Season 1,161936,1/2/2024,classification,boardgamemechanic
Hand Management,Linko,153065,1/2/2024,classification,boardgamemechanic
